index,filename,blob_px,cx_px,cy_px,bw_px,bh_px
877,frame_000877.jpg,9,1018.2,587.6,32.0,8.0
878,frame_000878.jpg,8,1018.0,588.0,32.0,4.0
879,frame_000879.jpg,8,1018.0,588.0,32.0,4.0
880,frame_000880.jpg,15,1018.9,589.9,32.0,8.0
881,frame_000881.jpg,15,1018.9,590.1,32.0,8.0
882,frame_000882.jpg,13,1020.3,590.5,32.0,8.0
883,frame_000883.jpg,12,1020.0,590.7,32.0,8.0
884,frame_000884.jpg,10,1018.0,591.2,32.0,8.0
885,frame_000885.jpg,9,1018.2,591.6,32.0,8.0
886,frame_000886.jpg,9,1018.2,591.6,32.0,8.0
887,frame_000887.jpg,8,1018.0,592.0,32.0,4.0
888,frame_000888.jpg,8,1018.0,592.0,32.0,4.0
889,frame_000889.jpg,8,1018.0,592.0,32.0,4.0
890,frame_000890.jpg,15,1017.1,593.9,32.0,8.0
891,frame_000891.jpg,16,1018.0,594.0,32.0,8.0
892,frame_000892.jpg,15,1018.9,594.1,32.0,8.0
893,frame_000893.jpg,13,1020.3,594.5,32.0,8.0
894,frame_000894.jpg,12,1019.3,594.7,32.0,8.0
895,frame_000895.jpg,11,1018.9,594.9,32.0,8.0
896,frame_000896.jpg,10,1018.0,595.2,32.0,8.0
897,frame_000897.jpg,10,1018.0,595.2,32.0,8.0
898,frame_000898.jpg,10,1018.0,595.2,32.0,8.0
899,frame_000899.jpg,9,1017.8,595.6,32.0,8.0
900,frame_000900.jpg,9,1017.8,595.6,32.0,8.0
901,frame_000901.jpg,9,1017.8,595.6,32.0,8.0
902,frame_000902.jpg,12,1017.7,593.0,32.0,16.0
903,frame_000903.jpg,8,1018.0,596.0,32.0,4.0
904,frame_000904.jpg,16,1015.5,593.8,32.0,20.0
905,frame_000905.jpg,19,1016.2,594.7,32.0,20.0
906,frame_000906.jpg,20,1016.8,595.0,32.0,20.0
907,frame_000907.jpg,22,1017.6,594.9,32.0,20.0
908,frame_000908.jpg,22,1017.6,594.9,32.0,20.0
909,frame_000909.jpg,22,1017.6,594.9,32.0,20.0
910,frame_000910.jpg,19,1019.2,594.7,32.0,20.0
911,frame_000911.jpg,19,1019.2,594.7,32.0,20.0
912,frame_000912.jpg,18,1018.9,594.7,32.0,20.0
913,frame_000913.jpg,17,1018.1,594.6,32.0,20.0
914,frame_000914.jpg,16,1017.5,594.5,32.0,20.0
915,frame_000915.jpg,16,1017.5,594.5,32.0,20.0
916,frame_000916.jpg,17,1017.2,594.1,32.0,20.0
917,frame_000917.jpg,17,1017.2,594.1,32.0,20.0
918,frame_000918.jpg,17,1017.2,594.1,32.0,20.0
919,frame_000919.jpg,17,1017.2,594.1,32.0,20.0
920,frame_000920.jpg,17,1017.2,594.1,32.0,20.0
921,frame_000921.jpg,18,1016.2,594.4,36.0,20.0
922,frame_000922.jpg,18,1016.2,594.4,36.0,20.0
923,frame_000923.jpg,18,1016.2,594.4,36.0,20.0
924,frame_000924.jpg,18,1016.2,594.4,36.0,20.0
925,frame_000925.jpg,17,1016.0,594.4,36.0,20.0
926,frame_000926.jpg,17,1016.0,594.4,36.0,20.0
927,frame_000927.jpg,17,1016.0,594.4,36.0,20.0
928,frame_000928.jpg,17,1016.0,594.4,36.0,20.0
929,frame_000929.jpg,17,1016.0,594.4,36.0,20.0
930,frame_000930.jpg,17,1016.0,594.4,36.0,20.0
931,frame_000931.jpg,17,1016.0,594.4,36.0,20.0
932,frame_000932.jpg,17,1016.0,594.4,36.0,20.0
933,frame_000933.jpg,17,1016.0,594.4,36.0,20.0
934,frame_000934.jpg,17,1016.0,594.4,36.0,20.0
935,frame_000935.jpg,17,1016.0,594.4,36.0,20.0
936,frame_000936.jpg,17,1016.0,594.4,36.0,20.0
937,frame_000937.jpg,17,1016.0,594.4,36.0,20.0
938,frame_000938.jpg,17,1016.0,594.4,36.0,20.0
939,frame_000939.jpg,17,1016.0,594.4,36.0,20.0
940,frame_000940.jpg,17,1016.0,594.4,36.0,20.0
941,frame_000941.jpg,17,1016.0,594.4,36.0,20.0
942,frame_000942.jpg,17,1016.0,594.4,36.0,20.0
943,frame_000943.jpg,17,1016.0,594.4,36.0,20.0
944,frame_000944.jpg,17,1016.0,594.4,36.0,20.0
945,frame_000945.jpg,17,1016.0,594.4,36.0,20.0
946,frame_000946.jpg,17,1016.0,594.4,36.0,20.0
947,frame_000947.jpg,17,1016.0,594.4,36.0,20.0
